lon,lat,ws_mean
118.875,24.5,4.2123
119.0,24.5,2.6643
119.125,24.5,3.1442
119.25,24.5,3.4878
119.375,24.5,3.3388
119.5,24.5,3.5564
119.625,24.5,3.0758
119.75,24.5,2.7576
119.875,24.5,2.3039
120.0,24.5,2.3114
120.125,24.5,2.4466
120.25,24.5,2.7823
120.375,24.5,0.9584
118.75,24.625,4.817
118.875,24.625,4.6798
119.0,24.625,3.3526
119.125,24.625,3.4994
119.25,24.625,3.6549
119.375,24.625,4.3659
119.5,24.625,5.1831
119.625,24.625,3.3331
119.75,24.625,1.7636
119.875,24.625,0.972
120.0,24.625,0.4496
120.125,24.625,2.228
120.25,24.625,2.327
120.375,24.625,1.8687
120.5,24.625,1.7567
118.75,24.75,4.7929
118.875,24.75,5.0916
119.0,24.75,2.3458
119.125,24.75,3.5061
119.25,24.75,4.5167
119.375,24.75,5.1417
119.5,24.75,5.0374
119.625,24.75,4.3738
119.75,24.75,1.8159
119.875,24.75,0.9825
120.0,24.75,2.4045
120.125,24.75,1.8039
120.25,24.75,1.7931
120.375,24.75,1.9766
120.5,24.75,1.7526
120.625,24.75,4.205
118.625,24.875,4.8436
119.0,24.875,4.5167
119.125,24.875,5.7792
119.25,24.875,4.1105
119.375,24.875,4.3246
119.5,24.875,4.0506
119.625,24.875,4.5984
119.75,24.875,4.1428
119.875,24.875,4.4091
120.0,24.875,3.6061
120.125,24.875,2.3029
120.25,24.875,1.597
120.375,24.875,2.1281
120.5,24.875,1.6968
120.625,24.875,2.3774
119.125,25.0,4.3113
119.25,25.0,3.7303
119.375,25.0,5.0976
119.5,25.0,5.9428
119.625,25.0,4.7121
119.75,25.0,3.5828
119.875,25.0,3.4809
120.0,25.0,1.9175
120.125,25.0,2.7312
120.25,25.0,2.2567
120.375,25.0,2.5995
120.5,25.0,2.6765
120.625,25.0,2.353
120.75,25.0,3.1083
119.0,25.125,5.0841
119.125,25.125,4.5004
119.25,25.125,5.1629
119.375,25.125,5.3062
119.5,25.125,9.5406
119.625,25.125,5.1332
119.75,25.125,3.9949
119.875,25.125,4.7178
120.0,25.125,2.3986
120.125,25.125,3.0051
120.25,25.125,3.0804
120.375,25.125,3.0194
120.5,25.125,3.0891
120.625,25.125,3.6605
120.75,25.125,4.5827
120.875,25.125,3.9568
119.0,25.25,5.1209
119.125,25.25,4.3445
119.375,25.25,5.6826
119.5,25.25,4.8295
119.625,25.25,4.9028
119.75,25.25,5.9867
119.875,25.25,4.4471
120.0,25.25,4.4295
120.125,25.25,2.3724
120.25,25.25,3.7814
120.375,25.25,3.7623
120.5,25.25,3.8204
120.625,25.25,4.0627
120.75,25.25,4.1186
120.875,25.25,4.3632
121.0,25.25,2.9349
121.125,25.25,3.0713
121.25,25.25,3.5756
121.75,25.25,5.2012
119.25,25.375,5.6514
119.375,25.375,5.1714
119.5,25.375,4.5299
119.75,25.375,3.9318
119.875,25.375,6.5934
120.0,25.375,4.5821
120.125,25.375,5.5902
120.25,25.375,4.6736
120.375,25.375,4.7469
120.5,25.375,4.6739
120.625,25.375,4.6614
120.75,25.375,4.5655
120.875,25.375,4.5642
121.0,25.375,4.7927
121.125,25.375,4.0413
121.25,25.375,4.1804
121.375,25.375,4.2019
121.5,25.375,4.8241
121.625,25.375,4.6172
121.75,25.375,4.0231
119.25,25.5,4.8854
119.375,25.5,4.9569
119.625,25.5,3.8753
119.75,25.5,3.3974
119.875,25.5,4.3774
120.0,25.5,5.2472
120.125,25.5,5.2781
120.25,25.5,5.002
120.375,25.5,4.8647
120.5,25.5,5.0991
120.625,25.5,5.051
120.75,25.5,4.8813
120.875,25.5,4.9698
121.0,25.5,4.8593
121.125,25.5,4.9313
121.25,25.5,5.3939
121.375,25.5,5.5921
121.5,25.5,5.7825
121.625,25.5,6.0127
121.75,25.5,5.0144
119.5,25.625,5.4675
119.625,25.625,4.9522
119.75,25.625,6.0323
119.875,25.625,4.9148
120.0,25.625,5.0529
120.125,25.625,4.5729
120.25,25.625,5.4391
120.375,25.625,5.392
120.5,25.625,5.7811
120.625,25.625,5.8089
120.75,25.625,5.4852
120.875,25.625,5.4527
121.0,25.625,5.2913
121.125,25.625,5.1615
121.25,25.625,5.5663
121.375,25.625,5.9192
121.5,25.625,5.9572
121.625,25.625,5.3467
121.75,25.625,5.4725
119.625,25.75,5.7326
119.75,25.75,3.3445
119.875,25.75,6.6131
120.0,25.75,4.4203
120.125,25.75,3.7452
120.25,25.75,5.1812
120.375,25.75,5.6494
120.5,25.75,5.7402
120.625,25.75,5.8061
120.75,25.75,6.0021
120.875,25.75,5.3838
121.0,25.75,4.9983
121.125,25.75,5.8212
121.25,25.75,6.0083
121.375,25.75,6.2745
121.5,25.75,6.263
121.625,25.75,5.453
121.75,25.75,6.0073
119.625,25.875,5.1732
119.75,25.875,4.793
119.875,25.875,4.9207
120.0,25.875,4.0797
120.125,25.875,4.6448
120.25,25.875,3.035
120.375,25.875,5.4022
120.5,25.875,5.4912
120.625,25.875,5.6691
120.75,25.875,5.5603
120.875,25.875,5.4925
121.0,25.875,5.6006
121.125,25.875,5.7297
121.25,25.875,6.083
121.375,25.875,6.2036
121.5,25.875,5.6124
121.625,25.875,5.802
121.75,25.875,6.1635
119.75,26.0,3.6861
119.875,26.0,4.4008
120.0,26.0,3.9397
120.125,26.0,3.1786
120.25,26.0,3.1106
120.375,26.0,5.3537
120.5,26.0,5.4649
120.625,26.0,5.5616
120.75,26.0,5.4011
120.875,26.0,5.5172
121.0,26.0,5.6527
121.125,26.0,5.6236
121.25,26.0,5.7675
121.375,26.0,6.0119
121.5,26.0,5.8533
121.625,26.0,6.2478
121.75,26.0,6.93
119.625,26.125,5.3641
119.75,26.125,6.1212
119.875,26.125,5.7878
120.0,26.125,4.7638
120.125,26.125,3.272
120.25,26.125,2.6114
120.375,26.125,4.9122
120.5,26.125,5.4065
120.625,26.125,5.1862
120.75,26.125,5.0428
120.875,26.125,5.3539
121.0,26.125,5.5816
121.125,26.125,5.7764
121.25,26.125,5.8144
121.375,26.125,5.9412
121.5,26.125,5.6908
121.625,26.125,6.1768
121.75,26.125,6.4701
119.625,26.25,5.2569
119.75,26.25,4.976
119.875,26.25,2.3187
120.0,26.25,4.3914
120.125,26.25,2.7581
120.25,26.25,1.8067
120.375,26.25,4.7399
120.5,26.25,5.2203
120.625,26.25,5.4681
120.75,26.25,5.5067
120.875,26.25,5.2499
121.0,26.25,5.8532
121.125,26.25,6.0668
121.25,26.25,5.8736
121.375,26.25,5.5548
121.5,26.25,5.6828
121.625,26.25,6.4072
121.75,26.25,7.7286
119.75,26.375,5.324
119.875,26.375,4.9585
120.0,26.375,5.147
120.125,26.375,2.3123
120.25,26.375,1.8328
120.375,26.375,4.0827
120.5,26.375,4.5763
120.625,26.375,4.8736
120.75,26.375,5.2828
120.875,26.375,5.5023
121.0,26.375,5.8541
121.125,26.375,6.121
121.25,26.375,5.8017
121.375,26.375,5.3549
121.5,26.375,5.7222
121.625,26.375,6.2189
121.75,26.375,6.9467
119.875,26.5,5.5285
120.0,26.5,3.393
120.125,26.5,3.2023
120.25,26.5,1.8794
120.375,26.5,3.4001
120.5,26.5,3.6434
120.625,26.5,4.3625
120.75,26.5,4.8292
120.875,26.5,5.4985
